trial,targetWidth,targetDistance,reactionTime_ms
1,20,99.98499887483122,6723
2,40,269.15051551130273,4632
3,60,399.4721517202419,1938
4,20,199.25109786397664,6786
5,80,65.25335240430181,1605
6,40,111.08555261599052,1523
7,40,100.0199980003999,1486
8,40,285.3559181092973,2654
9,80,400.1262300824579,1609
10,80,171.29214809792072,1520
11,80,60.03332407921454,1078
12,60,212.46176126540982,2315
13,40,165.89454481688057,2485
14,20,400.5621050473946,10873
15,20,100.0,2263
16,20,460.46606823956097,6077
17,80,210.16184239771025,1667
18,80,63.324560795950255,804
19,20,100.44899203078147,1782
20,80,128.86038956948718,1529
21,40,100.40418317978589,976
22,40,199.49185447030163,3064
23,20,100.12991560967181,10128
24,80,200.6315030098713,2621
25,80,499.06412413636787,2596
26,60,88.45903006477066,2337
27,60,100.0199980003999,7547
28,60,599.0959856316849,4623
29,40,260.41505332833583,4670
30,40,549.0910671282132,4461
