trial,targetWidth,targetDistance,reactionTime_ms
1,40,345.2491853719571,1260
2,20,199.5720421301541,1206
3,20,199.46177578674065,1199
4,60,428.37950464512187,1126
5,60,145.0551619212498,739
6,40,198.70832896484234,907
7,80,393.8146772277539,797
8,60,287.2107240337658,929
9,20,201.16162655934158,1956
10,60,166.00301202086666,964
11,60,56.08029957123981,748
12,80,12.0,385
13,60,200.47942537826668,832
14,80,201.06217943710845,826
15,80,200.0024999843752,1126
16,60,358.6697645467206,1829
17,40,100.40418317978589,959
18,80,82.75868534480233,691
19,40,118.9663818059539,1025
20,40,600.7004245045945,1082
21,80,146.48549416239138,779
22,60,128.56126943990557,1206
23,60,200.0024999843752,963
24,40,158.41717078650282,1322
25,80,245.44856895080892,775
26,20,330.9531688925187,1134
27,80,379.5589545775465,1179
28,80,98.99494936611666,682
29,40,118.59595271340417,966
30,20,526.2166854063067,1343
