trial,targetWidth,targetDistance,reactionTime_ms
1,20,100.84145972763385,1103
2,80,100.00499987500625,1052
3,80,100.0,1337
4,80,80.77747210701756,1250
5,80,51.97114584074513,1053
6,20,399.8462204398086,5666
7,40,100.0199980003999,2071
8,40,451.22056690713913,7133
9,80,169.83815825661793,3117
10,20,289.1158937173811,4344
11,40,85.0,1389
12,20,54.12947441089743,2209
13,60,51.66236541235796,929
14,80,195.27416623813812,1809
15,20,599.8541489395568,4123
16,80,137.87675656179326,1270
17,60,97.49871794028884,1795
18,60,389.7858386344994,3012
19,60,100.60318086422517,1524
20,80,594.8319090297695,1747
21,20,100.42410069301094,2584
22,80,141.15594213493105,1676
23,20,483.5255939451396,3400
24,20,599.4005338669627,3191
25,20,121.24768039018313,1937
26,40,101.43470806385751,2212
27,20,100.40418317978589,2730
28,40,359.9611090104041,2129
29,20,600.4406715071856,3338
30,40,333.304665433894,1656
