trial,targetWidth,targetDistance,reactionTime_ms
1,40,199.11052207254141,697
2,80,200.5617112013158,668
3,40,500.80035942479117,933
4,80,600.5539109855167,776
5,40,498.38940598692506,1012
6,20,100.41912168506553,830
7,20,443.08577047790646,1250
8,60,342.49817517762045,679
9,40,100.17983829094555,643
10,80,66.85057965343307,435
11,80,200.3696583817021,679
12,80,399.96249824202266,729
13,40,200.8233054204616,760
14,60,100.41912168506553,605
15,40,399.2605665477121,847
16,40,98.89893831583835,829
17,60,98.08159868191383,748
18,20,147.38385257551113,960
19,60,198.70832896484234,751
20,20,58.69412236331676,793
21,80,400.2898949511466,751
22,20,556.410819449083,1452
23,80,57.706152185014034,418
24,20,199.5419755339713,728
25,40,528.1003692481194,1002
26,60,24.351591323771842,485
27,60,143.0873858870865,676
28,80,525.235185416971,930
29,60,200.0,858
30,40,200.24235316236172,876
