trial,targetWidth,targetDistance,reactionTime_ms
0,27.142906,20.480967,717.0
1,50.997482,151.47263,698.0
2,55.396145,150.79482,650.0
3,48.082703,119.29277,666.0
4,56.129787,215.27342,649.0
5,55.33266,88.88827,599.0
6,44.084232,593.5493,833.0
7,15.335846,444.64343,734.0
8,59.245735,122.82945,766.0
9,35.885323,229.384,799.0
10,52.29055,290.5285,633.0
11,14.754522,147.41129,650.0
12,23.324654,398.41852,1031.0
13,27.103737,420.1498,801.0
14,17.733732,277.52463,882.0
15,26.00095,306.22113,767.0
16,48.750828,368.1263,782.0
17,22.128323,532.4233,950.0
18,33.36494,125.874954,716.0
19,40.46019,374.46722,783.0
20,31.75294,237.2853,864.0
21,22.026009,157.76091,816.0
22,37.438637,397.6406,1016.0
23,53.397625,344.7588,734.0
24,58.31143,385.4733,667.0
25,35.250107,495.30365,850.0
26,24.207966,302.50885,1000.0
27,40.763687,293.0616,815.0
28,30.892515,296.61115,818.0
29,34.11354,301.4093,815.0
30,50.06687,70.81758,667.0
31,18.223867,253.1991,818.0
32,41.046005,261.89386,783.0
33,19.579403,427.65714,817.0
34,36.33525,223.8701,799.0
35,32.83191,360.6687,815.0
36,32.29989,662.2624,816.0
37,24.622002,536.29395,1767.0
38,38.002865,96.859764,950.0
39,43.323174,564.1242,683.0
40,55.715668,201.54102,582.0
41,40.076927,107.7807,884.0
42,48.871517,194.99443,633.0
43,21.300682,160.43591,649.0
44,16.116,455.4862,917.0
45,49.157112,643.2638,849.0
46,19.392467,617.6529,765.0
47,35.480103,466.74734,801.0
48,38.26095,271.467,650.0
49,27.634232,100.87167,649.0
50,38.78373,256.03247,649.0
51,24.856699,367.24103,832.0
52,46.249928,411.72855,749.0
53,34.63546,414.59073,716.0
54,47.896408,491.381,784.0
55,24.206017,188.05927,882.0
56,55.00158,309.7864,700.0
57,33.742584,181.5894,649.0
58,41.91475,211.3655,667.0
59,29.123272,447.09875,816.0
60,52.86936,558.35986,715.0
61,28.856262,215.10313,684.0
62,10.925377,501.91153,966.0
63,45.080444,551.3067,717.0
64,29.062658,47.32616,1116.0
65,53.44773,479.9828,900.0
66,13.248537,637.26556,1148.0
67,50.315098,292.5226,768.0
68,37.555183,307.9633,815.0
69,53.303825,411.59546,700.0
70,48.230175,251.90877,831.0
71,50.184578,660.1241,649.0
72,21.2879,401.15292,800.0
73,10.711166,168.30327,1683.0
74,26.957191,405.36447,1033.0
75,47.69141,77.197395,632.0
76,51.64356,115.41342,550.0
77,14.84935,352.2878,1433.0
78,46.5583,84.15858,532.0
79,52.82121,48.553795,500.0
80,10.035435,284.62784,1182.0
81,27.691422,394.8406,850.0
82,14.836652,584.32184,1216.0
83,31.088972,599.2047,999.0
84,41.88236,406.75113,1066.0
85,24.257082,162.60947,1232.0
